,Assigned Segment.Curious,Assigned Segment.Cheap + Comfy,Assigned Segment.Craver,Assigned Segment.Cheap + Curious,Assigned Segment.Comfy,Assigned Segment.Caviar
I always choose higher end hotels,-0.3564091988031437,-0.30964654277040426,0.23687054233192076,-0.46177632170436933,-0.2062984962958217,0.49121037664219597
On vacation I pride myself on discovering new places and things my friends have not seen before,0.16975098074731496,-0.24122083220610918,0.3402030599665378,0.013113503952094594,-0.3479688079244854,-0.14753092106088192
I choose more expensive hotels and accommodations to make sure I get the best service and amenities,-0.3742737517223558,-0.30453358964119337,0.1943145581837851,-0.4590001827727977,-0.20835093364964727,0.5423991489656668
It is important for me to be in a luxurious setting and to be pampered on vacation,-0.3932809038655179,-0.27324443310986324,0.29664645627244257,-0.37873789509202666,-0.12795803781562887,0.3700350113384685
I like to immerse myself in the local culture when on vacation,0.19480040927766007,-0.22407086444271945,0.2765101177550546,0.055764364110189195,-0.29386341968897867,-0.16734433753890748
The difference between luxury and standard hotels just is not big enough to justify the cost,0.2711272986565409,0.12623802034106268,0.22226726719870035,0.26373102020410083,0.12806714794604404,-0.6480208228781298
I always pay more for a higher class of room on my vacations,-0.3982460470121848,-0.19492164659126995,0.16072293264476223,-0.33582920961341106,-0.1614122746921407,0.47505015826008334
I would rather spend as little as possible on accommodations so I have more money to spend on other parts of my vacation,0.3074444125358116,0.05746799778269082,0.2594989839860293,0.25995022906228804,0.08158764136910268,-0.6568225798457712
I think spending more for unique experiences is part of what makes a vacation special,-0.007529534792497384,-0.15235885983755854,0.17060110466740888,-0.06528173432016456,-0.3140821419649021,0.12823275695894878
I like to go on vacations that are off the beaten path,0.233806483687079,-0.07892902285886286,0.23745146643562207,0.07038974698502849,-0.23816576257248032,-0.2518517354343373
Have you been on a cruise in the last 10 years.No,0.020616496020776007,0.023443771624364684,-0.03585817315818035,-0.06057855557232335,-0.01684900808713066,0.04431326036757402
Have you been on a cruise in the last 10 years.Yes,-0.020616496020776007,-0.023443771624364684,0.03585817315818035,0.06057855557232335,0.01684900808713066,-0.04431326036757402
Are you a planner  how far in advance do you typically book your vacations.I plan and book at least 6 months in advance,0.005555190329712934,0.06197584030309253,-0.007383224208521298,-0.05864356493841835,-0.01133367334863417,0.01349269829092506
Are you a planner  how far in advance do you typically book your vacations.I plan for a long time and book a couple of months in advance,-0.04291520275254145,-0.06308802978765067,0.02151067864449557,0.038990601216274186,0.06914545919554829,-0.025047703262946624
Are you a planner  how far in advance do you typically book your vacations.I do everything at the last minute,-0.031323780087993636,-0.022019275302527196,0.086513218642908,-0.028306053515802516,-0.00707726312874108,-0.030192358456504326
Are you a planner  how far in advance do you typically book your vacations.I plan and book a couple months in advance,0.037219004801721696,0.0018488031429313055,-0.04038285543954598,0.030530934086306957,-0.026581791868726192,0.010833824467806894
Are you a planner  how far in advance do you typically book your vacations.I plan in advance but book less than a month before travelling,-0.0009216863891805163,-0.03563483225499017,0.011265045614494453,0.031713938373053314,-0.02519763153394799,0.005104955652667949
